Jogo,PC,PS3,PS4,PSP,Vita,X360,XONE,NDS,WIIU,Avg_Score
Assassin's Creed,0.8,0.79,,,,0.83,,,,0.81
Assassin's Creed: Altaïr's Chronicles,,,,,,,,0.58,,0.58
Assassin's Creed: Bloodlines,,,,0.64,,,,,,0.64
Assassin's Creed II,0.84,0.91,,,,0.9,,,,0.88
Assassin's Creed II: Discovery,,,,,,,,0.71,,0.71
Assassin's Creed: Brotherhood,0.88,0.9,,,,0.91,,,,0.9
Assassin's Creed: Revelations,0.75,0.8,,,,0.79,,,,0.78
Assassin's Creed III,0.81,0.86,,,,0.85,,,0.83,0.84
Assassin's Creed III: Liberation,0.66,0.62,,,0.72,0.62,,,,0.66
Assassin's Creed IV: Black Flag,0.83,0.88,0.85,,,0.86,0.81,,0.87,0.85
Assassin's Creed Rogue,0.7,0.74,,,,0.73,,,,0.72
Assassin's Creed Unity,0.73,,0.68,,,,0.7,,,0.7
Assassin's Creed Syndicate,,,0.77,,,,0.81,,,0.79
Assassin's Creed Origins,,,,,,,,,,0
Assassin's Creed Odyssey,,,,,,,,,,0
Assassin's Creed Valhalla,,,,,,,,,,0
,,,,,,,,,,
