Last Updated,Name,Platform,Year,Genre,Publisher,Developer,Critic_Score,User_Score,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Global_Sales
N/A,Assassin's Creed,PSN,2011,Action,Ubisoft  ,Ubisoft Montreal  ,8.4,,,,,,
N/A,Assassin's Creed,PS3,2007,Action,Ubisoft  ,Ubisoft Montreal  ,8.2,8.5,1.91,2.01,0.09,0.82,4.83
N/A,Assassin's Creed,XBL,2009,Adventure,Ubisoft  ,Ubisoft Montreal  ,8.2,,,,,,
N/A,Assassin's Creed,X360,2007,Action,Ubisoft  ,Ubisoft Montreal  ,8.2,8,3.28,1.64,0.07,0.56,5.55
2020-10-20,Assassin's Creed,All,2007,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
2020-02-11,Assassin's Creed,Series,2007,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,
2018-11-23,Assassin's Creed,PC,2008,Adventure,Ubisoft  ,Ubisoft Montreal  ,7.6,,0.01,0.84,,0.06,0.91
2018-07-03,Assassin's Creed Chronicles,PS4,2016,Action,Ubisoft  ,Climax Studios  ,,,0.02,0.05,0.02,0.01,0.11
2018-07-03,Assassin's Creed Chronicles,XOne,2016,Action,Ubisoft  ,Climax Studios  ,,,,0.01,,0,0.01
2018-07-03,Assassin's Creed Chronicles,PSV,2016,Action,Ubisoft  ,Climax Studios  ,,,0.01,0.07,0.02,0.02,0.12
2018-07-03,Assassin's Creed Chronicles,PC,2016,Action,Ubisoft  ,Climax Studios  ,,,,,,,
2018-12-30,Assassin's Creed Chronicles: China,XOne,2015,Action-Adventure,Ubisoft  ,Climax Studios  ,,,,,,,
2018-12-30,Assassin's Creed Chronicles: China,PC,2015,Action-Adventure,Ubisoft  ,Climax Studios  ,,,,0,,0,0
2018-12-30,Assassin's Creed Chronicles: China,PS4,2015,Action-Adventure,Ubisoft  ,Climax Studios  ,,,,0.03,,0.01,0.04
N/A,Assassin's Creed Chronicles: India,PS4,2016,Action,Ubisoft  ,Unknown  ,,,,,,,
N/A,Assassin's Creed Chronicles: India,PC,2016,Action,Ubisoft  ,Unknown  ,,,,,,,
N/A,Assassin's Creed Chronicles: India,XOne,2016,Action,Ubisoft  ,Unknown  ,,,,,,,
N/A,Assassin's Creed Chronicles: Russia,PS4,2016,Action,Ubisoft  ,Unknown  ,,,,,,,
N/A,Assassin's Creed Chronicles: Russia,XOne,2016,Action,Ubisoft  ,Unknown  ,,,,,,,
N/A,Assassin's Creed Chronicles: Russia,PC,2016,Action,Ubisoft  ,Unknown  ,,,,,,,
N/A,Assassin's Creed Double Pack,X360,2012,Misc,Ubisoft  ,Unknown  ,,,,,,,
N/A,Assassin's Creed Double Pack,PS3,2012,Misc,Ubisoft  ,Unknown  ,,,,,,,
N/A,Assassin's Creed Freedom Cry,PS4,2014,Misc,Ubisoft  ,Unknown  ,,,,,,,
N/A,Assassin's Creed Freedom Cry,PS3,2014,Misc,Ubisoft  ,Unknown  ,,,,,,,
N/A,Assassin's Creed Freedom Cry,PC,2014,Misc,Ubisoft  ,Unknown  ,,,,,,,
N/A,Assassin's Creed II,XBL,2010,Action,Ubisoft  ,Ubisoft Montreal  ,9.2,,,,,,
N/A,Assassin's Creed II,PC,2010,Action,Ubisoft  ,Ubisoft Montreal  ,8.5,,0.01,0.45,,0.07,0.54
N/A,Assassin's Creed II,X360,2009,Action,Ubisoft  ,Ubisoft Montreal  ,9.1,,3.14,1.55,0.08,0.52,5.3
2020-10-21,Assassin's Creed II,All,2009,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
2018-01-03,Assassin's Creed II,PS3,2009,Action,Ubisoft  ,Ubisoft Montreal  ,9,,2.54,1.95,0.21,0.86,5.57
N/A,Assassin's Creed II: Battle of Forlì,PSN,2010,Action,Ubisoft  ,Ubisoft Montreal  ,7.4,,,,,,
N/A,Assassin's Creed II: Battle of Forlì,XBL,2010,Action,Ubisoft  ,Ubisoft Montreal  ,6.2,,,,,,
N/A,Assassin's Creed II: Bonfire of the Vanities,XBL,2010,Action,Ubisoft  ,Ubisoft Montreal  ,6.7,,,,,,
N/A,Assassin's Creed II: Bonfire of the Vanities,PSN,2010,Action,Ubisoft  ,Ubisoft Montreal  ,7.4,,,,,,
N/A,Assassin's Creed II: Complete Edition,X360,2010,Action,Ubisoft  ,Ubisoft Montreal  ,,,,0,,0,0
N/A,Assassin's Creed II: Complete Edition,PS3,2010,Action,Ubisoft  ,Ubisoft Montreal  ,,,,0,,0,0
N/A,Assassin's Creed II: Deluxe Edition,PSN,2011,Action,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
N/A,Assassin's Creed II: Deluxe Edition,PC,2010,Action,Ubisoft  ,Ubisoft Montreal  ,,,,0.1,,0.03,0.13
N/A,Assassin's Creed II: Discovery,DS,2009,Platform,Ubisoft  ,Griptonite Games  ,7.3,,0.15,0.11,,0.03,0.28
2020-10-21,Assassin's Creed III,All,2012,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
2020-09-08,Assassin's Creed III,WiiU,2012,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,7.7,,0.19,0.14,,0.03,0.36
2018-04-12,Assassin's Creed III,PC,2012,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,8.6,,0.28,0.54,,0.07,0.89
2018-04-12,Assassin's Creed III,PS3,2012,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,8.8,,2.65,2.61,0.16,1.08,6.5
2018-02-07,Assassin's Creed III,X360,2012,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,3.13,1.71,0.03,0.45,5.31
2019-03-22,Assassin's Creed III Remastered,PS4,2019,Action-Adventure,Ubisoft  ,Ubisoft  ,8,,,,,,
2019-03-22,Assassin's Creed III Remastered,NS,2019,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,
2019-02-14,Assassin's Creed III Remastered,PC,2019,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,
2019-02-14,Assassin's Creed III Remastered,XOne,2019,Action-Adventure,Ubisoft  ,Ubisoft  ,,,,,,,
2018-09-12,Assassin's Creed III: Liberation,PSV,2012,Adventure,Ubisoft  ,Ubisoft  ,,,0.53,0.57,0.06,0.32,1.48
2020-10-21,Assassin's Creed IV: Black Flag,All,2013,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,,,,,,,
2018-03-22,Assassin's Creed IV: Black Flag,X360,2013,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,8.5,,1.9,1.14,0.01,0.3,3.34
2018-03-14,Assassin's Creed IV: Black Flag,PC,2013,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,8.5,,0.24,0.34,,0.05,0.63
2018-03-14,Assassin's Creed IV: Black Flag,PS4,2013,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,8.3,,1.07,1.55,0.06,0.51,3.19
2018-03-14,Assassin's Creed IV: Black Flag,WiiU,2013,Action-Adventure,Ubisoft  ,Ubisoft Montreal  ,8.5,,0.17,0.1,,0.03,0.29
